index,0
0,991
1,731
2,2211
3,14730
4,34326
5,46932
6,39897
7,29443
8,27850
9,28040
10,27065
11,27443
12,26914
13,28107
14,34682
15,39712
16,39854
17,35065
18,26353
19,19065
20,14918
21,10589
22,6029
23,0
